Statistical profiling result from result_con_console-v8.log, (8335 ticks, 16 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
   6100   73.2%          /usr/local/bin/node
    287    3.4%          /usr/lib/x86_64-linux-gnu/libc.so.6
     10    0.1%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
      8    0.1%          [vdso]

 [JavaScript]:
   ticks  total  nonlib   name
     45    0.5%    2.3%  LazyCompile: *wrap /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:101:22
     41    0.5%    2.1%  LazyCompile: *parse /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:269:30
     30    0.4%    1.6%  LazyCompile: *SourceNode_walk /home/rdonaire/Desktop/backend/node_modules/source-map/lib/source-node.js:221:53
     17    0.2%    0.9%  LazyCompile: *readPackage node:internal/modules/cjs/loader:290:21
     16    0.2%    0.8%  LazyCompile: *resolve node:path:1091:10
     16    0.2%    0.8%  LazyCompile: *makeAbs /home/rdonaire/Desktop/backend/node_modules/glob/common.js:203:18
     13    0.2%    0.7%  LazyCompile: *next /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:478:32
     13    0.2%    0.7%  LazyCompile: *next /home/rdonaire/Desktop/backend/node_modules/express/lib/router/index.js:177:16
      9    0.1%    0.5%  LazyCompile: *generateList /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:143:38
      9    0.1%    0.5%  LazyCompile: *<anonymous> /home/rdonaire/Desktop/backend/node_modules/source-map/lib/source-node.js:174:29
      7    0.1%    0.4%  LazyCompile: *step /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:31:18
      7    0.1%    0.4%  LazyCompile: *join node:path:1166:7
      7    0.1%    0.4%  LazyCompile: *<anonymous> /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:251:47
      7    0.1%    0.4%  LazyCompile: *<anonymous> /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:167:47
      6    0.1%    0.3%  LazyCompile: *invokeAmbiguous /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:699:44
      6    0.1%    0.3%  LazyCompile: *<anonymous> /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:368:47
      5    0.1%    0.3%  LazyCompile: *resolvePath /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:492:36
      5    0.1%    0.3%  LazyCompile: *fulfilled /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:21:27
      5    0.1%    0.3%  LazyCompile: *anonymous /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:12:42
      5    0.1%    0.3%  LazyCompile: *__awaiter /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:18:54
      5    0.1%    0.3%  LazyCompile: *Module._nodeModulePaths node:internal/modules/cjs/loader:629:37
      4    0.0%    0.2%  RegExp: (?:\r\n?|\n).*
      4    0.0%    0.2%  LazyCompile: *relative node:path:1190:11
      4    0.0%    0.2%  LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
      4    0.0%    0.2%  LazyCompile: *normalizeString node:path:66:25
      4    0.0%    0.2%  LazyCompile: *extend /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/utils.js:28:16
      4    0.0%    0.2%  LazyCompile: *compile /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      4    0.0%    0.2%  LazyCompile: *Module._resolveFilename node:internal/modules/cjs/loader:848:35
      4    0.0%    0.2%  LazyCompile: *Glob._process /home/rdonaire/Desktop/backend/node_modules/glob/glob.js:295:36
      4    0.0%    0.2%  Function: ^<anonymous> /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:181:44
      3    0.0%    0.2%  RegExp: ^(?:[^\x00]*?(?=(\{\{)))
      3    0.0%    0.2%  LazyCompile: *realpathSync node:fs:2425:22
      3    0.0%    0.2%  LazyCompile: *nextTick node:internal/process/task_queues:104:18
      3    0.0%    0.2%  LazyCompile: *dirname node:path:1275:10
      3    0.0%    0.2%  LazyCompile: *compileFunction node:vm:308:25
      3    0.0%    0.2%  LazyCompile: *castChunk /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:52:19
      3    0.0%    0.2%  LazyCompile: *SourceNode_add /home/rdonaire/Desktop/backend/node_modules/source-map/lib/source-node.js:172:51
      3    0.0%    0.2%  LazyCompile: *<anonymous> /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:227:47
      3    0.0%    0.2%  Function: ^Socket._writeGeneric node:net:791:42
      3    0.0%    0.2%  Function: ^<anonymous> node:internal/util:347:32
      2    0.0%    0.1%  RegExp: ^[!#$%&'*+\-.^_`|~0-9A-Za-z]+$
      2    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\{)
      2    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\s*else\b)
      2    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\*?)
      2    0.0%    0.1%  RegExp: ^(?:\{\{(~)?![\s\S]*?\}\})
      2    0.0%    0.1%  RegExp: ^(?:[\/.])
      2    0.0%    0.1%  RegExp: (^|\r?\n)\s*?$
      2    0.0%    0.1%  LazyCompile: *setHeader node:_http_outgoing:574:57
      2    0.0%    0.1%  LazyCompile: *readPackageScope node:internal/modules/cjs/loader:321:26
      2    0.0%    0.1%  LazyCompile: *readFileAfterStat node:fs:326:27
      2    0.0%    0.1%  LazyCompile: *readFileAfterOpen node:fs:310:27
