Statistical profiling result from result_sin_console-v8.log, (7248 ticks, 5 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
   5367   74.0%          /usr/local/bin/node
    245    3.4%          /usr/lib/x86_64-linux-gnu/libc.so.6
     22    0.3%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
      3    0.0%          [vdso]

 [JavaScript]:
   ticks  total  nonlib   name
     31    0.4%    1.9%  LazyCompile: *wrap /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:101:22
     31    0.4%    1.9%  LazyCompile: *parse /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:269:30
     29    0.4%    1.8%  LazyCompile: *SourceNode_walk /home/rdonaire/Desktop/backend/node_modules/source-map/lib/source-node.js:221:53
     28    0.4%    1.7%  LazyCompile: *resolve node:path:1091:10
     14    0.2%    0.9%  LazyCompile: *step /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:31:18
     13    0.2%    0.8%  LazyCompile: *next /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:478:32
     13    0.2%    0.8%  LazyCompile: *compile /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
     11    0.2%    0.7%  LazyCompile: *readPackage node:internal/modules/cjs/loader:290:21
      9    0.1%    0.6%  LazyCompile: *fulfilled /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:21:27
      9    0.1%    0.6%  LazyCompile: *Module._nodeModulePaths node:internal/modules/cjs/loader:629:37
      7    0.1%    0.4%  LazyCompile: *normalizeString node:path:66:25
      7    0.1%    0.4%  LazyCompile: *join node:path:1166:7
      7    0.1%    0.4%  LazyCompile: *generateList /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:143:38
      7    0.1%    0.4%  LazyCompile: *<anonymous> /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:167:47
      6    0.1%    0.4%  LazyCompile: *Glob._process /home/rdonaire/Desktop/backend/node_modules/glob/glob.js:295:36
      6    0.1%    0.4%  LazyCompile: *<anonymous> /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:368:47
      5    0.1%    0.3%  LazyCompile: *makeAbs /home/rdonaire/Desktop/backend/node_modules/glob/common.js:203:18
      5    0.1%    0.3%  LazyCompile: *anonymous /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:12:42
      4    0.1%    0.2%  RegExp: (?:\r\n?|\n).*
      4    0.1%    0.2%  LazyCompile: *invokeAmbiguous /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:699:44
      4    0.1%    0.2%  LazyCompile: *castChunk /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:52:19
      4    0.1%    0.2%  LazyCompile: *WhitespaceControl.Program /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/whitespace-control.js:19:48
      4    0.1%    0.2%  LazyCompile: *<anonymous> /home/rdonaire/Desktop/backend/node_modules/source-map/lib/source-node.js:174:29
      4    0.1%    0.2%  LazyCompile: *<anonymous> /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:227:47
      4    0.1%    0.2%  Function: ^destroy node:internal/streams/destroy:32:17
      4    0.1%    0.2%  Function: ^Module._extensions..js node:internal/modules/cjs/loader:1114:37
      3    0.0%    0.2%  RegExp: ^(?:\{\{(~)?\^\s*(~)?\}\})
      3    0.0%    0.2%  RegExp: ^(?:\{\{(~)?!--)
      3    0.0%    0.2%  RegExp: ^(?:[^\x00]*?(?=(\{\{)))
      3    0.0%    0.2%  LazyCompile: *validateString node:internal/validators:118:24
      3    0.0%    0.2%  LazyCompile: *syncExports node:internal/bootstrap/loaders:287:14
      3    0.0%    0.2%  LazyCompile: *setupHelperArgs /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:1104:44
      3    0.0%    0.2%  LazyCompile: *readFileAfterClose node:internal/fs/read_file_context:46:28
      3    0.0%    0.2%  LazyCompile: *next /home/rdonaire/Desktop/backend/node_modules/express/lib/router/index.js:177:16
      3    0.0%    0.2%  LazyCompile: *appendEscaped /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:416:40
      3    0.0%    0.2%  LazyCompile: *anonymous /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:549:49
      3    0.0%    0.2%  LazyCompile: *__generator /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:27:58
      3    0.0%    0.2%  LazyCompile: *__awaiter /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:18:54
      3    0.0%    0.2%  LazyCompile: *SourceNode_add /home/rdonaire/Desktop/backend/node_modules/source-map/lib/source-node.js:172:51
      3    0.0%    0.2%  LazyCompile: *Module._findPath node:internal/modules/cjs/loader:494:28
      3    0.0%    0.2%  LazyCompile: *<anonymous> /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:251:47
      3    0.0%    0.2%  Function: ^ontouch /home/rdonaire/Desktop/backend/node_modules/express-session/index.js:347:65
      3    0.0%    0.2%  Function: ^Module.load node:internal/modules/cjs/loader:969:33
      2    0.0%    0.1%  RegExp: ^(?:\{\{(~)?#>)
      2    0.0%    0.1%  RegExp: ^(?:\{\{(~)?![\s\S]*?\}\})
