Statistical profiling result from sin_console-v8.log, (6386 ticks, 6 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
   4613   72.2%          /usr/local/bin/node
    228    3.6%          /usr/lib/x86_64-linux-gnu/libc.so.6
     22    0.3%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
      5    0.1%          [vdso]

 [JavaScript]:
   ticks  total  nonlib   name
     26    0.4%    1.7%  LazyCompile: *parse /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:269:30
     22    0.3%    1.4%  LazyCompile: *wrap /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:101:22
     17    0.3%    1.1%  LazyCompile: *SourceNode_walk /home/rdonaire/Desktop/backend/node_modules/source-map/lib/source-node.js:221:53
     14    0.2%    0.9%  LazyCompile: *resolve node:path:1091:10
     12    0.2%    0.8%  LazyCompile: *next /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:478:32
     11    0.2%    0.7%  LazyCompile: *castChunk /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:52:19
     10    0.2%    0.7%  LazyCompile: *readPackage node:internal/modules/cjs/loader:290:21
     10    0.2%    0.7%  LazyCompile: *compile /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      9    0.1%    0.6%  LazyCompile: *fulfilled /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:21:27
      9    0.1%    0.6%  LazyCompile: *<anonymous> /home/rdonaire/Desktop/backend/node_modules/source-map/lib/source-node.js:174:29
      8    0.1%    0.5%  LazyCompile: *next /home/rdonaire/Desktop/backend/node_modules/express/lib/router/index.js:177:16
      6    0.1%    0.4%  LazyCompile: *makeAbs /home/rdonaire/Desktop/backend/node_modules/glob/common.js:203:18
      6    0.1%    0.4%  LazyCompile: *anonymous /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:12:42
      6    0.1%    0.4%  LazyCompile: *SubExpression /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:236:40
      6    0.1%    0.4%  LazyCompile: *Module._nodeModulePaths node:internal/modules/cjs/loader:629:37
      6    0.1%    0.4%  LazyCompile: *<anonymous> /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:167:47
      5    0.1%    0.3%  LazyCompile: *step /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:31:18
      5    0.1%    0.3%  LazyCompile: *<anonymous> /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:368:47
      5    0.1%    0.3%  LazyCompile: *<anonymous> /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:227:47
      4    0.1%    0.3%  LazyCompile: *normalizeString node:path:66:25
      4    0.1%    0.3%  LazyCompile: *join node:path:1166:7
      4    0.1%    0.3%  LazyCompile: *invokeAmbiguous /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:699:44
      3    0.0%    0.2%  RegExp: ^(?:[^\x00]*?(?=(\{\{)))
      3    0.0%    0.2%  RegExp: (?:\r\n?|\n).*
      3    0.0%    0.2%  LazyCompile: *replaceStack /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:892:38
      3    0.0%    0.2%  LazyCompile: *pushProgram /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:615:36
      3    0.0%    0.2%  LazyCompile: *generateList /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:143:38
