[2022-07-13T23:42:07.517] [WARN] archivoWarning - Recurso inexistente  /
[2022-07-13T23:42:07.595] [WARN] archivoWarning - Recurso inexistente  /login
[2022-07-13T23:45:18.132] [WARN] archivoWarning - Recurso inexistente  /
[2022-07-13T23:45:18.321] [WARN] archivoWarning - Recurso inexistente  /login
[2022-07-13T23:45:19.158] [WARN] archivoWarning - Recurso inexistente  /favicon.ico
[2022-07-13T23:45:25.749] [WARN] archivoWarning - Recurso inexistente  /login
[2022-07-13T23:45:26.219] [WARN] archivoWarning - Recurso inexistente  /
[2022-07-13T23:45:26.771] [WARN] archivoWarning - Recurso inexistente  /favicon.ico
[2022-07-13T23:45:51.969] [WARN] archivoWarning - Recurso inexistente  /mensajes
[2022-07-13T23:45:53.020] [WARN] archivoWarning - Recurso inexistente  /favicon.ico
[2022-07-13T23:45:58.670] [WARN] archivoWarning - Recurso inexistente  /productos
[2022-07-13T23:46:02.850] [WARN] archivoWarning - Recurso inexistente  /carrito
[2022-07-13T23:46:03.454] [WARN] archivoWarning - Recurso inexistente  /favicon.ico
[2022-07-13T23:46:04.953] [WARN] archivoWarning - Recurso inexistente  /logout
[2022-07-13T23:46:05.446] [WARN] archivoWarning - Recurso inexistente  /favicon.ico
[2022-07-13T23:46:07.613] [WARN] archivoWarning - Recurso inexistente  /login
